Tienda,Producto,Fecha,Cantidad,Precio_Unitario,Total
Tienda Av. Bravo,Arroz 1kg,2024-01-15,3,18.50,55.50
Tienda Av. Bravo,Leche 1L,2024-01-15,2,28.00,56.00
Tienda Av. Bravo,Huevos 30pz,2024-01-15,1,45.00,45.00
Tienda Av. Bravo,Pan de caja,2024-01-15,2,32.00,64.00
Tienda Av. Bravo,Aceite 1L,2024-01-15,1,35.00,35.00
Tienda Av. Bravo,Azúcar 1kg,2024-01-15,2,16.50,33.00
Tienda Av. Bravo,Harina 1kg,2024-01-15,1,19.00,19.00
Tienda Av. Bravo,Frijoles 1kg,2024-01-15,2,22.00,44.00
Tienda Av. Bravo,Coca Cola 2L,2024-01-15,3,38.00,114.00
Tienda Av. Bravo,Detergente 1kg,2024-01-15,1,45.00,45.00
Tienda Av. Bravo,Arroz 1kg,2024-01-16,2,18.50,37.00
Tienda Av. Bravo,Leche 1L,2024-01-16,1,28.00,28.00
Tienda Av. Bravo,Huevos 30pz,2024-01-16,1,45.00,45.00
Tienda Av. Bravo,Pan de caja,2024-01-16,2,32.00,64.00
Tienda Av. Bravo,Aceite 1L,2024-01-16,1,35.00,35.00
Tienda Av. Bravo,Azúcar 1kg,2024-01-16,1,16.50,16.50
Tienda Av. Bravo,Harina 1kg,2024-01-16,2,19.00,38.00
Tienda Av. Bravo,Frijoles 1kg,2024-01-16,1,22.00,22.00
Tienda Av. Bravo,Coca Cola 2L,2024-01-16,2,38.00,76.00
Tienda Av. Bravo,Detergente 1kg,2024-01-16,1,45.00,45.00
Tienda Av. Bravo,Arroz 1kg,2024-01-17,1,18.50,18.50
